              coef.base_model.      X2.5..    X97.5..
RIDRETH34:BMI_category2          0.292401858  -1.027421621  1.612225337
RIDRETH36:BMI_category2          0.152324185  -0.989746633  1.294395003
RIDRETH37:BMI_category2          0.162162316  -1.851540599  2.175865230
RIDRETH32:BMI_category3         -0.277091702  -1.575268714  1.021085311
RIDRETH33:BMI_category3         -0.191236210  -1.229888378  0.847415959
RIDRETH34:BMI_category3          0.023910850  -1.489083116  1.536904817
RIDRETH36:BMI_category3          0.050185721  -2.086378581  2.186750023
RIDRETH37:BMI_category3         -1.438538581  -3.648772247  0.771695084
RIDRETH32:LBDCOTLC1             -0.079259794  -0.671992569  0.513472981
RIDRETH33:LBDCOTLC1              0.098233518  -0.519755416  0.716222453
RIDRETH34:LBDCOTLC1             -0.114893879  -0.985526449  0.755738692
RIDRETH36:LBDCOTLC1             -0.519904966  -1.186652018  0.146842085
RIDRETH37:LBDCOTLC1             -1.986379673  -3.836588384 -0.136170961
RIDRETH32:ALQ1012               -0.456777172  -1.248167216  0.334612871
RIDRETH33:ALQ1012               -0.505974533  -1.070947432  0.058998366
RIDRETH34:ALQ1012               -0.665113790  -1.425477738  0.095250157
RIDRETH36:ALQ1012               -1.147274747  -2.628435717  0.333886224
RIDRETH37:ALQ1012               -0.863008147  -2.061070292  0.335053999
DMDEDUC22:DMDMARTL2             -0.113114906  -1.879798388  1.653568577
DMDEDUC23:DMDMARTL2             -0.284573862  -1.878813700  1.309665975
DMDEDUC24:DMDMARTL2              0.553899954  -1.106308204  2.214108112
DMDEDUC25:DMDMARTL2              1.845576743  -0.296179386  3.987332871
DMDEDUC22:DMDMARTL3             -1.552703042  -3.108820245  0.003414162
DMDEDUC23:DMDMARTL3             -1.184630291  -2.707851858  0.338591276
DMDEDUC24:DMDMARTL3             -0.411112942  -1.786116190  0.963890306
DMDEDUC25:DMDMARTL3             -0.110887196  -1.810137930  1.588363539
DMDEDUC22:DMDMARTL4             -0.603540471  -2.703734716  1.496653774
DMDEDUC23:DMDMARTL4              0.236343181  -2.030674169  2.503360531
DMDEDUC24:DMDMARTL4              0.496269255  -1.503289858  2.495828367
DMDEDUC25:DMDMARTL4              1.630500757  -1.001738223  4.262739737
DMDEDUC22:DMDMARTL5              0.200309033  -1.089384730  1.490002797
DMDEDUC23:DMDMARTL5             -0.558357975  -1.814022450  0.697306500
DMDEDUC24:DMDMARTL5             -0.525915749  -1.497102335  0.445270836
DMDEDUC25:DMDMARTL5              0.102193314  -0.823217853  1.027604481
DMDEDUC22:DMDMARTL6              0.231890288  -1.128952942  1.592733518
DMDEDUC23:DMDMARTL6              0.141635249  -1.305521662  1.588792159
DMDEDUC24:DMDMARTL6             -0.356458666  -1.586897904  0.873980573
DMDEDUC25:DMDMARTL6              0.449365382  -1.391322522  2.290053285
DMDEDUC22:age_cluster2           1.775479684   1.135917652  2.415041715
DMDEDUC23:age_cluster2           1.557713774   0.848579957  2.266847591
DMDEDUC24:age_cluster2           0.794513731  -0.039404011  1.628431473
DMDEDUC25:age_cluster2           1.432283754   0.595872678  2.268694830
DMDEDUC22:age_cluster3           1.524591245   0.576196316  2.472986174
DMDEDUC23:age_cluster3           0.301346237  -0.859075603  1.461768076
DMDEDUC24:age_cluster3          -0.386930982  -1.547755806  0.773893843
DMDEDUC25:age_cluster3           0.295861495  -0.870418410  1.462141399
DMDEDUC22:FIPR_cluster2          0.182898643  -0.928021460  1.293818746
DMDEDUC23:FIPR_cluster2          0.550680950  -0.439301340  1.540663240
DMDEDUC24:FIPR_cluster2          0.515436377  -0.705435828  1.736308581
DMDEDUC25:FIPR_cluster2          0.022117867  -1.405751378  1.449987112
DMDEDUC22:FIPR_cluster3         -0.115658738  -1.071670690  0.840353214
DMDEDUC23:FIPR_cluster3          0.710451477  -0.151904164  1.572807119
DMDEDUC24:FIPR_cluster3          0.914854541   0.149264574  1.680444508
DMDEDUC25:FIPR_cluster3          0.407077475  -0.759391545  1.573546496
DMDEDUC22:BMI_category1        -44.397808741 -91.060300140  2.264682659
DMDEDUC23:BMI_category1        -17.752040096 -26.130683869 -9.373396322
DMDEDUC24:BMI_category1        -20.537104953 -32.602963787 -8.471246118
DMDEDUC25:BMI_category1        -10.187995251 -17.735340821 -2.640649680
DMDEDUC22:BMI_category2          0.639533789  -0.561022666  1.840090243
DMDEDUC23:BMI_category2          0.561866675  -0.934758270  2.058491620
DMDEDUC24:BMI_category2          0.889174353  -0.326361319  2.104710025
DMDEDUC25:BMI_category2          1.024290910  -0.290929042  2.339510861
DMDEDUC22:BMI_category3          0.760216150  -0.373725776  1.894158076
DMDEDUC23:BMI_category3          0.316014213  -1.142348794  1.774377220
DMDEDUC24:BMI_category3          1.059170837  -0.245092534  2.363434208
