"SEQN","SDDSRVYR","RIDSTATR","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA","RIAGENDR","RIDAGEYR","RIDRETH3","DMDEDUC2","DMDMARTL","INDFMPIR","age_cluster","FIPR_cluster"
85973,9,2,17485.70579,17756.945544,1,124,2,54,4,5,3,1.47,2,2
85975,9,2,11906.308209,11510.964612,2,128,2,80,2,4,3,5,3,3
85976,9,2,15532.704477,16148.665253,2,121,1,37,6,4,1,1.72,1,2
85977,9,2,23130.355779,24045.300659,1,121,1,35,2,5,1,3.13,1,2
85978,9,2,163921.68395,170956.3395,2,122,2,68,3,5,1,5,3,3
85980,9,2,34343.543083,35350.721643,2,127,1,30,2,2,1,1.05,1,1
85981,9,2,33238.358583,34308.810939,1,120,1,29,2,2,5,2.55,1,2
85983,9,2,25505.676474,25504.228435,1,125,1,29,4,4,6,0.18,1,1
85986,9,2,15694.368006,15916.911834,1,130,1,77,3,3,1,1.82,3,2
85990,9,2,121862.829101,121723.498266,2,120,2,50,3,4,1,5,2,3
85992,9,2,27818.983007,28679.693773,2,124,1,31,7,4,6,1.03,1,1
85994,9,2,28026.871328,28249.642587,2,121,2,43,1,5,1,5,2,3
85995,9,2,21939.899631,22987.958501,2,124,1,42,6,5,1,1.4,2,2
85997,9,2,57053.941186,63301.861884,2,121,2,80,3,5,3,2.02,3,2
86000,9,2,33434.174033,34468.617081,1,120,1,37,7,2,6,2.15,1,2
86002,9,2,19182.777614,25888.023853,2,133,2,61,4,4,1,1.09,2,1
86003,9,2,123985.911828,129306.734318,2,125,2,62,3,4,3,1.19,2,1
86004,9,1,17523.909493,0,2,131,2,57,2,4,2,0.69,2,1
86005,9,2,12266.300299,13950.204553,2,131,2,55,2,4,1,3.91,2,3
86007,9,2,24849.497876,25240.133108,2,122,2,46,6,5,1,5,2,3
86009,9,2,46846.40666,48033.75778,1,130,2,33,3,4,1,2.04,1,2
86010,9,2,21420.607118,22281.315127,1,131,1,55,4,2,3,2.78,2,2
86011,9,2,27955.68511,33069.419482,2,122,2,45,6,3,1,5,2,3
86013,9,2,7791.994132,7995.284187,1,124,2,64,2,5,3,3.48,2,2
86014,9,2,25036.181429,26026.513192,1,127,1,39,1,4,1,3.87,1,3
86015,9,1,32660.418187,0,1,132,1,31,4,3,6,3.48,1,2
86017,9,2,19744.079763,20024.047908,1,125,1,70,3,4,1,1.81,3,2
86018,9,2,20378.469848,21966.250466,2,129,2,72,6,3,3,1.84,3,2
86019,9,2,103679.708374,111459.2658,2,133,1,26,3,5,1,2.81,1,2
86021,9,2,42029.83884,42690.715332,1,128,1,42,1,1,2,0.89,2,1
86022,9,2,77433.038468,75787.571302,2,129,2,23,3,4,5,0.55,1,1
86026,9,2,9806.709122,9630.94732,1,123,1,61,1,3,1,1.32,2,2
86028,9,2,11709.112101,11742.14525,1,121,2,56,1,1,3,2.12,2,2
86029,9,2,89469.069495,90541.342472,1,126,2,26,3,5,5,4.54,1,3
86031,9,2,21394.533446,21723.700087,1,121,2,22,1,4,5,0.78,1,1
86032,9,2,16364.796023,20913.062634,1,128,2,50,2,2,5,0.52,2,1
86034,9,2,115634.342299,116604.495188,1,123,1,48,3,5,1,5,2,3
86035,9,2,147176.261778,151729.849988,1,130,1,37,3,5,6,5,1,3
86036,9,2,8807.30595,9115.818176,1,128,1,61,1,2,1,0.82,2,1
86039,9,2,99391.412305,102896.885858,2,121,2,71,3,3,1,5,3,3
86040,9,2,36203.650768,37635.723203,2,127,1,35,1,3,4,1.26,1,1
86041,9,2,20493.4791,22209.537069,2,133,1,35,2,3,1,0.94,1,1
86044,9,2,42282.53416,42237.695467,1,127,2,67,3,2,3,0.99,3,1
86047,9,2,27134.216252,28836.232514,1,131,2,80,3,4,2,1.53,3,2
86050,9,2,24274.430192,24320.60008,2,132,2,39,4,5,1,1.07,1,1
86051,9,2,31001.759046,30040.64535,2,128,2,36,4,5,5,1.56,1,2
